id;id_givts;name
652;1574;Северо-Осетинская государственная медицинская академия Министерства здравоохранения Российской Федерации
653;1718;Астраханский государственный медицинский университет Министерства здравоохранения Российской Федерации
657;1587;Приволжский исследовательский медицинский университет Министерства здравоохранения Российской Федерации
659;1610;Московский государственный медико-стоматологический университет имени А.И. Евдокимова Министерства здравоохранения Российской Федерации
661;1582;Ростовский государственный медицинский университет Министерства здравоохранения Российской Федерации
665;1719;Сибирский государственный университет телекоммуникаций и информатики
666;1607;Уральский государственный медицинский университет Министерства здравоохранения Российской Федерации
670;1606;Ставропольский государственный медицинский университет Министерства здравоохранения Российской Федерации
671;1576;Омский государственный медицинский университет Министерства здравоохранения Российской Федерации
672;1584;Ижевская государственная медицинская академия Министерства здравоохранения Российской Федерации
675;1599;Омский государственный университет путей сообщения
676;1634;Курганская государственная сельскохозяйственная академия имени Т. С. Мальцева
678;1616;Санкт - Петербургский государственный педиатрический медицинский университет Министерства здравоохранения Российской Федерации
681;1678;Ростовский государственный университет путей сообщения
682;1564;Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича
684;1588;Тюменский государственный медицинский университет Министерства здравоохранения Российской Федерации
685;1597;Волгоградский государственный медицинский университет Министерства здравоохранения Российской Федерации
686;1621;Тверской государственный медицинский университет Министерства здравоохранения Российской Федерации
687;1765;Рязанский государственный медицинский университет имени академика И.П. Павлова Министерства здравоохранения Российской Федерации
688;1566;Российский университет транспорта
689;1767;Финансовый университет при Правительстве Российской Федерации
690;1691;Дальневосточный государственный университет путей сообщения
691;1757;Иркутский государственный университет путей сообщения
693;1715;Сибирский государственный университет путей сообщения
694;1603;Самарский государственный университет путей сообщения
701;1593;Московский технический университет связи и информатики
702;1810;Всероссийская академия внешней торговли Министерства экономического развития Российской Федерации
703;1731;Башкирский государственный медицинский университет Министерства здравоохранения Российской Федерации
704;1771;Санкт-Петербургский государственный университет
705;1618;Сибирский государственный медицинский университет Министерства здравоохранения Российской Федерации
706;1707;Государственный университет морского и речного флота имени адмирала С.О. Макарова
708;1580;Петербургский государственный университет путей сообщения Императора Александра I
710;1735;Санкт-Петербургский государственный университет гражданской авиации
711;1766;"Национальный исследовательский университет ""Высшая школа экономики"""
